1 370.0 324.0 480.0 346.0 289.0 323.0 464.0 365.0
2 170 274 207 279 51 271 104 275
3 205 478 206 306 71 325 74 150
4 212 372 301 358 146 258 193 236
5 142 316 200 312 39 277 90 279
6 361 543 458 530 329 173 417 240
7 197 293 137 308 28 279 83 281
8 189 371 214 346 47 244 89 257
9 239 366 295 360 120 222 182 244
10 162 350 213 329 53 233 88 261
11 145 351 211 345 60 247 80 269
12 202 398 258 379 66 200 130 226
13 228 534 344 563 191 150 308 215
14 150 419 233 393 157 211 214 224
15 123 401 215 333 6 242 94 255
16 176 430 251 355 40 208 128 227
17 143 337 184 329 42 276 78 278
18 143 276 201 278 28 265 82 276
19 176 354 224 329 60 238 99 259
20 189 360 227 335 17 229 76 267
21 178 325 212 312 25 251 78 270
22 62 313 190 294 8 281 86 277
23 210 484 283 500 230 155 282 190
24 52 362 204 303 3 246 95 263
25 164 342 225 324 37 224 77 257
26 168 323 227 307 35 240 93 259
27 163 462 319 445 137 184 254 232
28 150 410 229 332 107 161 167 223
29 63 298 187 290 2 269 78 272
30 148 376 197 333 32 229 92 264
31 153 337 219 320 112 203 127 253
32 116 320 210 297 48 234 93 263
33 227 375 286 372 129 236 184 265
34 61 363 199 326 4 231 88 254
35 126 319 195 304 19 241 85 266
36 75 281 198 253 32 317 98 326
37 99 311 177 278 18 246 76 259
38 143 390 147 530 91 163 93 72
39 170 230 268 208 67 363 122 379
40 98 310 192 282 23 260 79 289
